id,run_length,sexy,price,start_time,end_time,workerid,censored,other
190,0,False,0.15,2013-04-20 01:24:20,2013-04-20 01:24:20,A1835XBNR2UB4X,True,None
191,0,True,0.3,2013-04-20 01:04:39,2013-04-20 01:04:39,A3LR46VY9QL148,True,None
192,1,True,0.3,2013-04-20 00:44:23,2013-04-20 00:58:53,A1GWOB4UP1UMPU,True,None
193,0,False,0.3,2013-04-20 02:55:06,2013-04-20 02:55:06,A34DWBBWZRLO1X,True,None
194,0,True,0.15,2013-04-20 01:41:28,2013-04-20 01:41:28,A18SO7XEA5K3NR,True,None
195,0,True,0.3,2013-04-20 01:39:35,2013-04-20 01:39:35,A9KSSJXDB6GPE,True,None
196,1,False,0.15,2013-04-20 01:23:36,2013-04-20 01:27:04,A22R7DT2XQIKXV,True,None
197,0,False,0.3,2013-04-20 02:28:34,2013-04-20 02:28:34,A28L1K6D8QUCML,True,None
198,0,False,0.3,2013-04-20 01:36:27,2013-04-20 01:36:27,A2WZVJ118NJJM5,True,None
199,0,True,0.15,2013-04-20 02:26:29,2013-04-20 02:26:29,A3MOK3EOXE5ZHW,True,None
200,0,True,0.3,2013-04-20 01:05:41,2013-04-20 01:05:41,A1TZT6IH99DO6Q,True,None
201,2,True,0.15,2013-04-20 00:36:13,2013-04-20 01:29:43,AFJ9I4LSV49SB,True,None
202,0,True,0.3,2013-04-20 02:36:45,2013-04-20 02:36:45,A10LKXSHVSEJIQ,True,None
203,0,False,0.15,2013-04-20 02:18:21,2013-04-20 02:18:21,A36T3YIMUDR3WJ,True,None
204,1,False,0.3,2013-04-20 01:55:07,2013-04-20 02:03:27,A3F4XU9JPE277V,True,None
205,0,False,0.3,2013-04-20 02:44:43,2013-04-20 02:44:43,A2V3P1XE33NYC3,True,None
206,0,True,0.15,2013-04-20 01:44:07,2013-04-20 01:44:07,A2FESUQF7EVFPV,True,None
207,0,True,0.15,2013-04-20 01:34:00,2013-04-20 01:34:00,A36CXUDE4541BN,True,None
209,0,True,0.3,2013-04-20 01:29:12,2013-04-20 01:29:12,A1GGOZPHYU0OC0,True,None
210,0,False,0.3,2013-04-20 02:47:57,2013-04-20 02:47:57,A1LZL5JSCU2HPD,True,None
211,0,True,0.15,2013-04-20 01:58:51,2013-04-20 01:58:51,A1U3PULHJJGGCC,True,None
212,0,False,0.15,2013-04-20 02:12:48,2013-04-20 02:12:48,A5X9SQ7YZ7Q2X,True,None
213,1,False,0.15,2013-04-20 01:22:10,2013-04-20 01:27:55,A14WOOII6N5ADC,True,None
214,0,False,0.3,2013-04-20 02:19:07,2013-04-20 02:19:07,A3KIFFIK6IKX17,True,None
215,0,False,0.3,2013-04-20 02:06:51,2013-04-20 02:06:51,A20JA64BT9D6FR,True,None
216,0,True,0.3,2013-04-20 02:46:47,2013-04-20 02:46:47,A1GZ5YXRH92Y7B,True,None
217,0,False,0.15,2013-04-20 01:18:50,2013-04-20 01:18:50,A2ZFS2QYJKC83I,True,None
218,0,False,0.15,2013-04-20 01:20:24,2013-04-20 01:20:24,A3MJ0JFJYO7BQ7,True,None
219,0,False,0.3,2013-04-20 02:10:49,2013-04-20 02:10:49,A2GOIE7WJ3HOQ0,True,None
220,0,False,0.3,2013-04-20 01:52:30,2013-04-20 01:52:30,A2W3A42TRMJ861,True,None
221,0,False,0.3,2013-04-20 02:28:32,2013-04-20 02:28:32,A64BOVRVYV1GP,True,None
222,0,False,0.15,2013-04-20 02:56:18,2013-04-20 02:56:18,AISRSP3TL0QO,True,None
223,0,False,0.15,2013-04-20 01:23:37,2013-04-20 01:23:37,A8DOKML3QXPL1,True,None
225,0,False,0.15,2013-04-20 01:38:25,2013-04-20 01:38:25,A3TXO6RKFIDFUV,True,None
226,1,False,0.3,2013-04-20 01:21:13,2013-04-20 01:28:00,A3QSJY1FFN0N6V,True,None
227,0,True,0.15,2013-04-20 01:09:21,2013-04-20 01:09:21,A14PFRHG0A2YY9,True,None
228,0,False,0.3,2013-04-20 01:23:01,2013-04-20 01:23:01,A2KJ50DARKEBPR,True,None
229,0,True,0.15,2013-04-20 02:35:50,2013-04-20 02:35:50,A3AP1NCEBBR8S0,True,None
230,0,True,0.15,2013-04-20 02:43:29,2013-04-20 02:43:29,A14AI7XJFNXF06,True,None
231,0,False,0.15,2013-04-20 02:34:12,2013-04-20 02:34:12,AOPZSU77ONJXS,True,None
232,1,False,0.3,2013-04-20 01:44:13,2013-04-20 01:56:04,A1XR97XSHB17AB,True,None
233,0,False,0.15,2013-04-20 01:39:02,2013-04-20 01:39:02,A10DBWQ3JAUL4J,True,None
234,0,False,0.15,2013-04-20 01:47:52,2013-04-20 01:47:52,A3MLRH6BKWKP7M,True,None
235,0,False,0.3,2013-04-20 01:40:34,2013-04-20 01:40:34,A3OZ288I9CBLWF,True,None
236,0,False,0.15,2013-04-20 01:19:58,2013-04-20 01:19:58,A2BWMYV8JU7RO4,True,None
237,0,False,0.15,2013-04-20 01:32:31,2013-04-20 01:32:31,A2UX7ZJEGGU5,True,None
238,0,False,0.3,2013-04-20 01:01:40,2013-04-20 01:01:40,A1XTFB1MO37BI3,True,None
239,0,True,0.15,2013-04-20 02:26:25,2013-04-20 02:26:25,A2645JQFXH75R8,True,None
240,0,False,0.3,2013-04-20 01:24:37,2013-04-20 01:24:37,AYQWBIUVDPBXK,True,None
241,1,False,0.15,2013-04-20 02:30:19,2013-04-20 02:43:20,ACJJUQ96T22RC,True,None
242,0,True,0.3,2013-04-20 01:32:09,2013-04-20 01:32:09,A12SMSQ6D5227J,True,None
243,0,True,0.3,2013-04-20 02:15:44,2013-04-20 02:15:44,A3LNKXG5P4C83A,True,None
244,0,False,0.15,2013-04-20 02:35:40,2013-04-20 02:35:40,A3209D1227UCYP,True,None
245,0,False,0.15,2013-04-20 02:18:17,2013-04-20 02:18:17,AB59OYZTUXRUM,True,None
246,0,True,0.3,2013-04-20 01:01:54,2013-04-20 01:01:54,A2DG6D396IXLGL,True,None
247,0,True,0.15,2013-04-20 01:52:54,2013-04-20 01:52:54,A2M18L7COHRV57,True,None
248,1,False,0.15,2013-04-20 01:14:40,2013-04-20 01:23:06,A2HM35CWB7IIFM,True,None
249,0,True,0.3,2013-04-20 01:29:41,2013-04-20 01:29:41,A3NMR4EWP867YJ,True,None
250,0,True,0.3,2013-04-20 01:26:32,2013-04-20 01:26:32,A1792E2Q36AW16,True,None
251,0,False,0.3,2013-04-20 01:02:46,2013-04-20 01:02:46,A309BLCQJHQULO,True,None
252,0,True,0.3,2013-04-20 02:45:35,2013-04-20 02:45:35,A27FM37WV5FD2E,True,None
253,0,False,0.15,2013-04-20 02:55:10,2013-04-20 02:55:10,AR7KDAB54C1L2,True,None
254,0,False,0.15,2013-04-20 01:53:28,2013-04-20 01:53:28,A1LGPFQQ54PQO,True,None
255,0,False,0.15,2013-04-20 01:29:15,2013-04-20 01:29:15,A2ZWBU7PJMG5KJ,True,None
256,0,False,0.15,2013-04-20 01:02:57,2013-04-20 01:02:57,A48DTJC76MOIM,True,None
257,0,True,0.3,2013-04-20 01:07:19,2013-04-20 01:07:19,A2ZH5LDUY5UFD4,True,None
258,1,True,0.3,2013-04-20 01:05:02,2013-04-20 01:16:29,A3PLJSMW0GD3L0,True,None
259,1,False,0.3,2013-04-20 02:43:59,2013-04-20 02:50:40,AFOSHFLRNELUY,True,None
260,0,True,0.15,2013-04-20 01:58:59,2013-04-20 01:58:59,A1GKEEI844CEKI,True,None
261,0,False,0.3,2013-04-20 02:24:03,2013-04-20 02:24:03,A3K34RATSWHIDE,True,None
262,0,False,0.3,2013-04-20 01:20:33,2013-04-20 01:20:33,A2R1U30QLCEE69,True,None
263,0,False,0.15,2013-04-20 01:08:24,2013-04-20 01:08:24,A39QOA9M7GNF86,True,None
264,1,False,0.3,2013-04-20 02:09:38,2013-04-20 02:19:20,AFB9N61OMZXCX,True,None
265,0,False,0.3,2013-04-20 02:22:28,2013-04-20 02:22:28,AZ9A137H25EDX,True,None
266,0,False,0.15,2013-04-20 02:02:55,2013-04-20 02:02:55,A10YQTSBFQPKS3,True,None
267,0,False,0.3,2013-04-20 02:30:14,2013-04-20 02:30:14,A3CTEVJQM763P8,True,None
268,1,False,0.3,2013-04-20 01:57:40,2013-04-20 02:06:48,A3ER1TYH4WEDBH,True,None
269,0,False,0.3,2013-04-20 01:52:36,2013-04-20 01:52:36,ADU3MDAGZD0UX,True,None
270,0,False,0.3,2013-04-20 02:25:56,2013-04-20 02:25:56,ATQKTFZ7ETZ1C,True,None
271,0,False,0.15,2013-04-20 02:29:10,2013-04-20 02:29:10,A3VWG9ODKVYGK6,True,None
273,0,False,0.15,2013-04-20 01:53:40,2013-04-20 01:53:40,A2VMQ3OKPH6O98,True,None
274,0,True,0.3,2013-04-20 01:53:02,2013-04-20 01:53:02,A1T6RECMXS2IP2,True,None
275,0,False,0.3,2013-04-20 02:08:54,2013-04-20 02:08:54,A1DEWED69OEN10,True,None
276,0,True,0.15,2013-04-20 01:31:24,2013-04-20 01:31:24,A1EWQ6YCM8CO0E,True,None
277,0,False,0.15,2013-04-20 02:22:58,2013-04-20 02:22:58,A3AYPGNCIQ0B2R,True,None
278,1,False,0.15,2013-04-20 01:52:00,2013-04-20 01:56:14,A1FUBGE9CHDHU6,True,None
279,0,False,0.15,2013-04-20 01:18:33,2013-04-20 01:18:33,AJGGOGCMHREFO,True,None
280,0,False,0.3,2013-04-20 02:11:13,2013-04-20 02:11:13,A24LUXW1DB1QI5,True,None
281,0,True,0.3,2013-04-20 01:25:59,2013-04-20 01:25:59,A3HLCR4YCHJWBI,True,None
282,0,True,0.15,2013-04-20 01:54:08,2013-04-20 01:54:08,A1WP410YX2JBKI,True,None
283,0,False,0.15,2013-04-20 01:20:10,2013-04-20 01:20:10,A39Y1T2GQVGO53,True,None
284,0,False,0.15,2013-04-20 00:48:05,2013-04-20 00:48:05,A4JK32MEUHOPV,True,None
285,0,True,0.3,2013-04-20 01:14:09,2013-04-20 01:14:09,A3TRP2W4Y4SU3W,True,None
286,0,True,0.3,2013-04-20 02:31:15,2013-04-20 02:31:15,A90QPQO48C6RX,True,None
287,0,True,0.15,2013-04-20 02:18:30,2013-04-20 02:18:30,A2J7PEUIO2WVUN,True,None
289,0,False,0.3,2013-04-20 01:43:51,2013-04-20 01:43:51,AJXRUJ4B95J73,True,None
290,0,True,0.15,2013-04-20 01:43:46,2013-04-20 01:43:46,A1YJ6UZRX1LW5R,True,None
291,0,False,0.15,2013-04-20 01:51:24,2013-04-20 01:51:24,A2QJGPYZZ1DTIP,True,None
292,0,False,0.15,2013-04-20 01:33:39,2013-04-20 01:33:39,A27IABVBUZ9X8Z,True,None
293,0,True,0.3,2013-04-20 01:27:39,2013-04-20 01:27:39,A12MALG4QJ30IF,True,None
294,3,False,0.15,2013-04-20 02:20:55,2013-04-20 02:56:47,AWNGOAO24ARJY,True,None
295,0,True,0.15,2013-04-20 02:36:01,2013-04-20 02:36:01,A2W9OLKSKRS52X,True,None
296,0,False,0.3,2013-04-20 02:15:39,2013-04-20 02:15:39,AD8ZUKPJT9E6,True,None
297,0,False,0.15,2013-04-20 01:24:42,2013-04-20 01:24:42,A3HTLXAPOBCVVO,True,None
298,0,True,0.15,2013-04-20 01:54:34,2013-04-20 01:54:34,ATP5AJPL8E56O,True,None
299,0,True,0.15,2013-04-20 01:24:51,2013-04-20 01:24:51,A3N7R7P9HP2YB6,True,None
301,0,True,0.15,2013-04-20 01:39:08,2013-04-20 01:39:08,A1E0EK09CA5OIO,True,None
302,1,False,0.15,2013-04-20 01:28:51,2013-04-20 01:31:32,A3T9NC9V3VL9RD,True,None
303,0,False,0.3,2013-04-20 02:30:11,2013-04-20 02:30:11,A1T79J0XQXDDGC,True,None
304,0,False,0.3,2013-04-20 02:12:41,2013-04-20 02:12:41,A1FQYUBCBNTQX7,True,None
305,0,True,0.15,2013-04-20 01:07:19,2013-04-20 01:07:19,A28TXBSZPWMEU9,True,None
306,0,True,0.3,2013-04-20 02:29:51,2013-04-20 02:29:51,A2W4T7J7Z44NZE,True,None
307,0,True,0.3,2013-04-20 02:29:06,2013-04-20 02:29:06,A17181IK8GK1OC,True,None
308,0,False,0.3,2013-04-20 01:34:20,2013-04-20 01:34:20,APGX2WZ59OWDN,True,None
309,0,True,0.15,2013-04-20 00:42:47,2013-04-20 00:42:47,A2O0BD7R62CZP8,True,None
